aadhaar_number,name,dob,gender,care_of,address,phone_number,photo_url
994849926489,Guneet Anne,20-05-1991,M,Luke Tandon,"54/892, Deol Chowk, Ulhasnagar 595231",03678526401,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/994849926489.jpg
302767212131,Riya Batra,20-12-1987,F,Jai Nadig,"86/06, Kant Marg, Bhusawal 560323",+919662788150,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/302767212131.jpg
786535552889,Arjun Wable,02-07-1977,M,Nachiket Gaba,"10/11, Peri Street, Machilipatnam 537394",5670951199,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/786535552889.jpg
691364303724,Waida Pal,22-09-1973,F,Chaitanya Saxena,"H.No. 30, Mand Ganj, Ludhiana 348650",1515632700,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/691364303724.jpg
174314564105,Aadhya Ramesh,19-12-2007,F,Devansh Sibal,"H.No. 36, Deep Chowk, Saharanpur-975228",6341776681,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/174314564105.jpg
382918737472,Nihal Mangal,29-04-2004,M,Max Kota,"H.No. 11, Nagar Chowk, Panchkula 785804",04363567971,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/382918737472.jpg
164259446385,Naveen Kari,24-01-2000,M,Jagdish Bandi,"783, Nair Chowk, Uluberia 430054",+918642970234,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/164259446385.jpg
296481336552,Christopher Chaudhary,08-12-1974,M,Isaiah Balan,"40, Kuruvilla Zila, Kochi 532076",02173020783,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/296481336552.jpg
551754243850,Yuvraj Dash,04-06-1978,M,Tanveer Rout,"45, Date Circle, Faridabad 644227",+910270913201,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/551754243850.jpg
866392848600,Ojas Kannan,26-06-1992,M,Gautam Arora,"H.No. 00, Karpe Road, Guntakal-773242",3049356344,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/866392848600.jpg
394479174578,Balendra Samra,01-02-1980,M,Charles Sundaram,"H.No. 10, Bora, Gopalpur 395503",+917516799619,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/394479174578.jpg
209129116984,Bina Bera,14-11-2007,F,Azad Dugar,"65/789, Talwar Circle, Warangal-729694",+914990785268,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/209129116984.jpg
920665558272,Jagdish Koshy,05-05-2006,M,Daniel Sibal,"77/970, Bandi Circle, Bijapur-561756",8346998636,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/920665558272.jpg
239155144373,Krishna Thaker,04-01-1979,F,Timothy Narasimhan,"H.No. 29, Yadav Street, Guntakal 769755",+917507018722,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/239155144373.jpg
386092891262,Daksha Badal,15-01-1966,F,Theodore Chawla,"67/26, Bedi Path, Proddatur-640551",09603819285,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/386092891262.jpg
644424091898,Max Peri,22-03-1975,M,Ishaan Mital,"H.No. 873, Gaba Ganj, Pondicherry-001450",+918278769599,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/644424091898.jpg
675233737660,Vamakshi Swaminathan,12-06-1993,F,Avi Oak,"27, Dar Ganj, Mahbubnagar-032845",+919096017998,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/675233737660.jpg
569475212888,Sai Din,01-08-1996,F,Chatresh Venkataraman,"32, Khalsa Marg, Udupi 920606",+915002050619,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/569475212888.jpg
159381009782,Jackson Nori,12-12-2000,M,Logan Bandi,"414, Rajan Zila, Belgaum-591776",+919563079636,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/159381009782.jpg
883275783657,Ryan Chana,03-08-1978,M,Parth Ganesh,"H.No. 29, Bhakta, Shimoga 556537",1481807140,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/883275783657.jpg
498328277009,Abdul Patla,08-10-1994,M,Abhimanyu Kunda,"705, Korpal Path, Surat 724737",+914341712644,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/498328277009.jpg
112880434695,Max Subramanian,20-10-1982,M,Zashil Bhavsar,"604, Kala Circle, Belgaum-608774",0419475061,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/112880434695.jpg
613038203222,Ishita Sandhu,13-03-1995,F,Orinder Batra,"28/97, Mandal, Ludhiana 357929",+913452772488,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/613038203222.jpg
116886507540,Maanav Sha,17-07-1971,M,Oliver Sridhar,"13/20, Nadkarni Road, Solapur-511951",04544560942,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/116886507540.jpg
900037349976,Saksham Jain,22-06-2005,M,Qasim Sahota,"H.No. 51, Virk Circle, Bokaro 106879",+911447575914,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/900037349976.jpg
605882162763,Urmi Gaba,28-10-1970,F,Shivansh Nanda,"49/16, Nanda Circle, Shahjahanpur-883372",9177471221,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/605882162763.jpg
418676253612,Kavya Kurian,09-10-1979,F,Luke Kalita,"H.No. 821, Sehgal Ganj, Aizawl 449586",+913676942262,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/418676253612.jpg
483356541933,Jalsa Dugar,27-06-1971,F,Darsh Mane,"095, Suresh Chowk, Salem 976248",3268715599,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/483356541933.jpg
210239642310,Januja Ravel,08-01-1984,F,Yagnesh Kaur,"H.No. 022, Gokhale Circle, Aizawl 295555",02182443234,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/210239642310.jpg
968666664171,Aadhya Vasa,22-11-1988,F,Ayush Sengupta,"932, Ram Road, Jodhpur-904295",05241435891,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/968666664171.jpg
633367189628,Anjali Iyengar,21-06-1967,F,Hemang Dhar,"H.No. 02, Srinivas Road, Durgapur 606669",2119527712,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/633367189628.jpg
511425743811,Jonathan Shankar,08-07-1962,M,Kalpit Radhakrishnan,"81/731, Lad Ganj, Guntakal 872066",03406024797,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/511425743811.jpg
874812232095,Vanya Aurora,05-04-1991,F,Ekavir Maharaj,"00/09, Sastry Nagar, Vadodara-047643",8635274500,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/874812232095.jpg
843991448311,Eesha Seth,07-03-1986,F,Aryan Saxena,"H.No. 76, Chaudhari Circle, Udupi 408569",+914625684189,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/843991448311.jpg
750493705002,Onveer Pandey,05-11-1995,M,Brijesh Shankar,"53/890, Shroff Circle, Nagpur 872549",02235171204,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/750493705002.jpg
524695181407,Samesh Dutta,28-09-1971,M,Wazir Balakrishnan,"H.No. 79, Bal Ganj, Siwan 582733",07613123480,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/524695181407.jpg
625981788335,Gauri Srinivasan,07-02-1985,F,Nathaniel Bumb,"46/60, Anand Zila, Gwalior 463079",05427696611,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/625981788335.jpg
892153878954,Benjamin Mukherjee,19-09-1976,M,Jagat Krishnamurthy,"843, Bhat Path, Bongaigaon-127856",+914586516420,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/892153878954.jpg
994967478783,Neha Balakrishnan,11-03-1988,F,Chatresh Patla,"H.No. 037, Kar Street, Kota 046434",6496947936,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/994967478783.jpg
352161017110,Ryan Rout,21-07-2006,M,Noah Tandon,"89/327, Dhawan Nagar, Berhampore 354844",2583876179,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/352161017110.jpg
118031628942,Vansha Narula,12-10-1994,F,Dalbir Gola,"66, Varghese Marg, Varanasi-687052",6210738432,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/118031628942.jpg
985761985780,Umang Kalita,07-12-2006,M,Darpan Varty,"47/559, Reddy Street, Bhilwara-429990",+916870825254,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/985761985780.jpg
616145841510,Upma Dube,01-03-1994,F,Praneel Sharaf,"24, Contractor Nagar, Bhopal-208252",5335174609,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/616145841510.jpg
719281585534,Anika Das,21-03-1975,F,Zaid Samra,"H.No. 36, Deol, Farrukhabad-250713",+914168100544,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/719281585534.jpg
685474066652,Zansi Tailor,20-12-1980,F,Patrick Wable,"H.No. 41, Kala Zila, Karaikudi 394990",+915857722057,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/685474066652.jpg
513393753587,Champak Sant,28-07-1963,M,Oscar Contractor,"H.No. 069, Borah Zila, Katihar 643615",6316899046,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/513393753587.jpg
129276164669,Kiaan Chad,03-10-1971,M,Peter Handa,"98/82, Sabharwal Ganj, Adoni 867942",07410470819,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/129276164669.jpg
127241469943,Laban Khanna,14-01-1964,M,Praneel Dhaliwal,"69, Gara Road, Parbhani 660479",+911913082795,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/127241469943.jpg
128865635030,Edhitha Bal,24-04-1965,F,Jai Tank,"03/934, Shan Road, Kanpur 884822",06653617379,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/128865635030.jpg
790618252756,Meghana Dora,14-10-1988,F,Advay Nagar,"25/017, Iyengar Path, Bihar Sharif-444866",+913011780900,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/790618252756.jpg
426488792867,Triveni Chand,19-11-1964,F,Quincy Kalita,"H.No. 308, Baria Road, Bokaro-407807",+913802828549,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/426488792867.jpg
905229016763,Chasmum Malhotra,08-11-1973,F,Xavier Sant,"86, Buch Ganj, Gangtok-464455",2209910602,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/905229016763.jpg
837179333203,Arjun Subramaniam,19-04-1971,M,Theodore Sankaran,"20/03, Mitter Circle, Muzaffarnagar 093300",2663915297,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/837179333203.jpg
151478971254,Neel Ramaswamy,22-11-1974,M,Christopher Tella,"11/510, Narula Nagar, Jorhat 503111",7058165609,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/151478971254.jpg
246193079157,Ronith Gandhi,26-07-1969,M,Matthew Prasad,"38/72, Ray Road, Srikakulam-890561",01923087690,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/246193079157.jpg
890931973573,Advaith Karnik,13-04-2000,M,Jatin Vasa,"H.No. 330, Sama Street, Bokaro-523266",9443452919,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/890931973573.jpg
562510392583,Vamakshi Balan,07-07-2002,F,Ikbal Saxena,"216, Batta Zila, Jalna 961974",+910961884661,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/562510392583.jpg
170821532050,Orinder Patla,22-01-1984,M,Ekapad Vohra,"40/87, Goel Road, Medininagar 324807",+915726702169,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/170821532050.jpg
117530433366,Anika Khanna,22-01-1962,F,Om Kothari,"H.No. 229, Shroff Ganj, Salem-662674",+919770759867,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/117530433366.jpg
220985561047,Qasim Dhar,16-01-1982,M,Nathan Sarkar,"65, Sane Road, Latur-939272",+916501254497,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/220985561047.jpg
262072775700,Jagvi Om,19-08-2003,F,Krish Kothari,"29/898, Upadhyay Chowk, Pondicherry-011553",1140085275,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/262072775700.jpg
579220776964,Bakhshi Din,27-08-1974,M,Jagdish Sama,"H.No. 21, Sarna Road, Chinsurah-162904",04170582041,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/579220776964.jpg
743566266466,Harrison Chowdhury,25-12-1962,M,Harrison Dugar,"H.No. 477, Subramanian, South Dumdum-166915",+914095989614,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/743566266466.jpg
817052351311,Nathan Bandi,10-03-1979,M,Ekbal Wason,"139, Nath Road, Solapur 163240",9348809380,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/817052351311.jpg
831290732292,Zansi Sachdev,10-10-1985,F,Guneet Dugal,"H.No. 65, Parmar Marg, Khandwa-982634",08856160912,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/831290732292.jpg
519869796626,Jagrati Banik,03-01-1963,F,Finn Baria,"35, Brar Street, Muzaffarpur-738508",7132993073,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/519869796626.jpg
533730944882,Gauri Madan,20-07-1987,F,Noah Krishnan,"560, Issac Street, Avadi 427398",8434308909,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/533730944882.jpg
767526588309,Aryan Kumar,10-03-1988,M,Abdul Kannan,"02, Dubey Circle, Gorakhpur 696876",04322170900,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/767526588309.jpg
302863138623,Bhavika Kadakia,07-06-1965,F,Andrew Shan,"28, Joshi Ganj, Ludhiana-921757",2200747251,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/302863138623.jpg
506039061532,Champak Sachar,19-03-1984,M,Girindra Hayer,"56/94, Bava Circle, Bareilly-401807",1425913597,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/506039061532.jpg
977148434103,Gaurang Choudhury,05-12-1968,M,Girindra Deol,"H.No. 028, Nigam Path, Jhansi-985294",02312525038,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/977148434103.jpg
372383716081,Fariq Reddy,16-04-2002,M,Rehaan D’Alia,"H.No. 27, Gupta Zila, Bhiwandi 892896",08544164146,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/372383716081.jpg
895427035341,Yashasvi Palla,11-10-1986,F,Aryan Arora,"37, Ben Marg, Patiala-114567",0581453944,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/895427035341.jpg
925567295590,Tara Krishnan,21-08-2007,F,Wahab Ramachandran,"H.No. 35, Chaudhuri Chowk, Saharsa-167210",4477557238,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/925567295590.jpg
158127975509,Diya Kurian,08-04-1963,F,Finn Ben,"36, Kar Zila, Noida-028292",05698047987,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/158127975509.jpg
634937322784,Praneel Bhavsar,16-03-1986,M,Tejas Sandhu,"20, Sunder Marg, Jammu-746429",00948359596,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/634937322784.jpg
185438961659,Ikbal Mutti,16-02-1969,M,Ayushman Soni,"66, Dhillon Nagar, Indore 366227",+915715746764,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/185438961659.jpg
604877987994,Upma Hari,09-08-1976,F,Aadi Minhas,"43/67, Bala, Bahraich-278859",+919513348685,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/604877987994.jpg
939747983703,Jyoti Handa,05-05-1997,F,Theodore Lalla,"06, Bajaj Ganj, Korba 464725",+911349068658,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/939747983703.jpg
246629735765,Tanish Gopal,05-10-1999,M,Abeer Solanki,"20/95, Dhingra Marg, Bhilwara 804164",7730340050,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/246629735765.jpg
530887152800,Panini Parekh,04-06-1996,F,Dev Solanki,"54/25, Prashad Nagar, Mira-Bhayandar 239729",01595718192,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/530887152800.jpg
405821632923,Upasna Tandon,20-07-2001,F,Vihaan Mandal,"97, Dugar Road, Mumbai-702526",0153599783,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/405821632923.jpg
209497642780,Indali Srinivasan,13-02-1983,F,Ishwar Yohannan,"03/425, Sengupta Marg, Mumbai 277989",08225771209,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/209497642780.jpg
659940344239,Lohit Gour,11-06-1970,M,Zashil Bhatti,"918, Nayak Marg, Dhule 759200",6772272791,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/659940344239.jpg
597524842759,Zaid Khosla,04-03-2001,M,Jai Roy,"201, Narasimhan Ganj, Ramgarh-621995",9461358435,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/597524842759.jpg
355431158317,Vrinda Dutt,22-08-1992,F,Oliver Balan,"H.No. 98, Bhargava Nagar, Adoni-369795",06375457939,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/355431158317.jpg
